# GRID = {'r': [1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9, 2.0], 'allow_forced_l_in_cd': [True, False], 'eta': [0,0.2,0.4,0.6,0.8, 1]},,,,
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,,,,,
allow_forced_l_in_cd,eta,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean,,,,,,
TRUE,0,1.9,0.309008,0.565296,0.12569600000000003,71.84035767632338,0.0925208632121769,179600.89419080847,14869453.74,198393475.4360001,183524021.6960001,0.11895563,1.587147803488001,1.468192173568001,,,,,,
FALSE,1,1.9,0.813016,0.18698400000000004,0,69.33695507107588,0.2168784266792143,173342.38767768972,0,445293448.2079603,445293448.2079603,0,3.562347585663682,3.562347585663682,,,,,,
TRUE,0.6,1.9,0.29823999999999995,0.697568,0.004192,65.6502916135057,0.15125101229236035,164125.72903376428,679177.5,202250479.97599992,201571302.47599992,0.00543342,1.6180038398079992,1.6125704198079993,,,,,,
TRUE,1,1.9,0.8142320000000001,0.18460800000000002,0.00116,91.73254111882554,0.03623437286398341,229331.35279706385,133233.78,445618054.1859972,445484820.40599716,0.00106587,3.564944433487978,3.563878563247977,,,,,,
TRUE,0.8,1.9,0.6671200000000002,0.33001600000000003,0.0028640000000000002,88.4170485722372,0.0542009257743423,221042.621430593,365566.38,399008957.76399636,398643391.38399637,0.002924531,3.192071662111971,3.1891471310719703,,,,,,
FALSE,0.2,2,0,1,0,-9999.997118,2.840773526050582e-07,-24999992.8,0,37806.16,37806.16,0,0.000302449,0.000302449,,,,,,
FALSE,0,2,0,1,0,-10000,0,-25000000,0,23366.36,23366.36,0,0.000186931,0.000186931,,,,,,
FALSE,0.4,2,0,1,0,-9999.993129,6.742883608594252e-07,-24999982.82,0,57494.4,57494.4,0,0.00045995519999999997,0.00045995519999999997,,,,,,
FALSE,0.8,2,0.409464,0.5905360000000001,0,-755.7843854,0.07184497908778276,-1889460.964,0,284465016.2,284465016.2,0,2.2757201299200003,2.2757201299200003,,,,,,
TRUE,0.2,2,0,0,1,47.97404145447741,0.20378664243432854,119935.10363619354,117374077.3,12390858.08,-104983219.2,0.938992619,0.09912686463999998,-0.839865754,,,,,,
TRUE,0.4,2,0.010688,0.020376,0.9689359999999999,54.67306220256844,0.14035687542716221,136682.65550642106,103646594.2,33721718.76,-69924875.4,0.8291727532800001,0.26977375,-0.559399003,,,,,,
TRUE,0,2,0,0,1,4.400568,0.5737232458311441,11001.42,124962291.4,23110.36,-124939181,0.999698331,0.00018488288000000002,-0.999513448,,,,,,
FALSE,0.6,2,0,1,0,-9999.843083,1.206321551707593e-05,-24999607.71,0,323757.56,323757.56,0,0.0025900604799999993,0.0025900604799999993,,,,,,
FALSE,1,2,0.673296,0.32670399999999994,0,84.25909474442082,0.09958880294961628,210647.73686105208,0,407279091.2,407279091.2,0,3.2582327299199996,3.2582327299199996,,,,,,
TRUE,0.8,2,0.523856,0.476016,0.000128,83.29358560482459,0.06339816101796819,208233.96401206142,23157.08,332951471.9,332928314.8,0.000185257,2.6636117750399997,2.663426518,,,,,,
TRUE,0.6,2,0.186536,0.592936,0.22052800000000006,37.7509783445676,0.3981375127032999,94377.445861419,23037996.42,129035386.5,105997390.1,0.18430397135999999,1.032283092,0.847979121,,,,,,
TRUE,1,2,0.6649680000000001,0.33373600000000003,0.0012960000000000003,88.90405901577773,0.05212350782034182,222260.1475394443,183783.02,406157481.7,405973698.7,0.001470264,3.249259854,3.24778959,,,,,,
